yorum,urun_adı,puanı
çeşitli bloglarda ince telli saçlılara şiddetle tavsiye ediliyor bu ürün. kullanan süslülerin yorumlarını merak ediyorum gerçekten bu kadar iyi mi diye.,OGX Dolgunlaştırıcı Biotin&Kolejen Şampuanı,5
Bir şampuan fiyatını gerçekten hakeder mi sorusunun cevabıdır benim gözümde. 2. kutumdayım ve uzun bir süre kullanmaya devam edecek gibiyim.,OGX Dolgunlaştırıcı Biotin&Kolejen Şampuanı,5
henüz ilk kutumdayım ancak çok memnunum. tabi ki saçların müthiş uzamasını yahut 10 katı hacme kavuşmasını beklemek yanlış olur ancak eski mısır püskülü saçlarımdan çok daha hacimli ve parlak saçlarım var ben bunu bu şampuana ve saç kremine bağlıyorum.30 liraya alınabilecek güzel bir şampuandır.,OGX Dolgunlaştırıcı Biotin&Kolejen Şampuanı,5
Kullanmakta olduğum şampuandır. Çok uzun bir zamandır saçlarımı uzatmaya çalışıyorum. 4-5 sene önceki malum kısa saç modasından ben de nasibimi almıştım çünkü. Çok çok uzun bir zaman olmadı kullanmaya başlayalı sanırsam 1 ay kadar oldu ancak saçlarımın sanki biraz daha hızlı uzadığını farkettim. Zaten saçlarım dökülüyor ama biraz daha fazla dökülmeye başladı kullanmaya başladığımdan beri. Bendeki en belirgin özelliği ise saçlarımın yağlanmasını acayip derecede geciktiriyor. Yani tabii ki yağlanıyor ama bizi koşarak banyo yapmak zorunda bırakan o yağlı görünümün oluşmasını bende baya geciktirdi. 2 gün dayanan saçlarım artık 4 gün rahat dayanıyor. Sanırım en çok bu özelliğini sevdim.,OGX Dolgunlaştırıcı Biotin&Kolejen Şampuanı,3
Şuan kullandığım şampuan. Uzatma etkisine inanarak almadım sadece hacim umuduyla aldım ama aksine daha da sönük olduğunu hissediyorum. Saç tarayışım kolaylaştı yumuşak oldu ama hacim vermedi. Bundan önce bioblas'ın yağlı saçlar içinolan şampuanını kullandım o daha çok hacim vermişti. Verdiğim parayı haketmedi kısacası.,OGX Dolgunlaştırıcı Biotin&Kolejen Şampuanı,2
Vaad ettiği hacmi ve uzunluğu vermeyen şampuan. 2 şişe almıştım bir de. Hiçbir şeye yaramadı.,OGX Dolgunlaştırıcı Biotin&Kolejen Şampuanı,1
bu şampuan gerçekten farkını hissettiriyor ikinci kullanımım sonucu diyebilirim ki ince telli saçlarıma etkisini birkaç gün sürdüren bir hacim yumuşacık bir dokunuş kazandırdı. uzatma hızını zaman gösterecek bakalım.,OGX Dolgunlaştırıcı Biotin&Kolejen Şampuanı,5
Ben anneler günü indiriminden kremiyle beraber almıştım. O günden beri kullanmaktayım. Fakat bence kendime göre yanlış seriyi aldım. Çünkü oldukça kalın telli ve bol saçım var. Bunu kullanınca bir anda cadılara benzeyebiliyorum. Haliyle uzuyor mu anlamıyorum. Kukui yağlı olanını deneyeceğim bundan sonra.,OGX Dolgunlaştırıcı Biotin&Kolejen Şampuanı,3
ince telli saçlara hacim vaad eden şampuandır. daha önce avalon biotin şampuan kullanıyordun ve memnundum. Çoğu blogta tavsiye edildiğini görünce şans vermek istedim ve ince telli yağlı saçlarım hiç olmadığı kadar hacimli. Kolay kolay vazgeçmem kendisinden.,OGX Dolgunlaştırıcı Biotin&Kolejen Şampuanı,5
saçlarımı hiçbir şekilde yıpratmayan parlak ve canlı bir görünüme kavuşturan verdiği hacimle dalgalarımı gözle görülür bir biçimde insancıl hale getiren şampuan.ilk kutumu bitirmek üzereyim. ince telli ve mısır püskülü saçlarıma çok iyi geldi. saçlarım yumuşacık oldu ve hiç karışmayıp kolayca taranıyorlar.fiyatını hak ettiğini düşündüğüm bir şampuan bittiğinde indirimi bile beklemeden koşa koşa alırım.,OGX Dolgunlaştırıcı Biotin&Kolejen Şampuanı,5
